ID;Puissancenominalunitaire;Emailcontact;Puissancenominaletotale;NOM_COMM;NOM_DEPT;NOM_REGION;LongitudeI;LatitudeI;Dnomination;Description;Miseenservice;Typedemachine;Dveloppeur;Oprateur;Commune;Dpartement;Nomcontact;Tlephone
44200;0;;0;ARCONCEY;COTE-D'OR;BOURGOGNE;4,457226174;47,23545859;;;;;;;;;;
44201;0;;0;BEUREY-BAUGUAY;COTE-D'OR;BOURGOGNE;4,446690387;47,243788;;;;;;;;;;
44202;0;;0;ARCONCEY;COTE-D'OR;BOURGOGNE;4,460408972;47,23846341;;;;;;;;;;
44203;0;;0;AUJEURRES;HAUTE-MARNE;CHAMPAGNE-ARDENNE;5,168630106;47,72385898;;;;;;;;;;
44204;0;;0;AUJEURRES;HAUTE-MARNE;CHAMPAGNE-ARDENNE;5,173158385;47,72171169;;;;;;;;;;
44205;0;;0;VAILLANT;HAUTE-MARNE;CHAMPAGNE-ARDENNE;5,177212273;47,71974605;;;;;;;;;;
44206;0;;0;VAILLANT;HAUTE-MARNE;CHAMPAGNE-ARDENNE;5,180629005;47,71741764;;;;;;;;;;
44207;0;;0;LE VAL-D'ESNOMS;HAUTE-MARNE;CHAMPAGNE-ARDENNE;5,183999628;47,7135666;;;;;;;;;;
44208;0;;0;VESVRES-SOUS-CHALANCEY;HAUTE-MARNE;CHAMPAGNE-ARDENNE;5,184160294;47,71028965;;;;;;;;;;
44209;0;;0;LE VAL-D'ESNOMS;HAUTE-MARNE;CHAMPAGNE-ARDENNE;5,211270067;47,69753912;;;;;;;;;;
44210;0;;0;LE VAL-D'ESNOMS;HAUTE-MARNE;CHAMPAGNE-ARDENNE;5,207160611;47,69813549;;;;;;;;;;
44211;0;;0;LE VAL-D'ESNOMS;HAUTE-MARNE;CHAMPAGNE-ARDENNE;5,203473171;47,6991213;;;;;;;;;;
44212;0;;0;LE VAL-D'ESNOMS;HAUTE-MARNE;CHAMPAGNE-ARDENNE;5,1999654;47,70043028;;;;;;;;;;
44213;0;;0;LE VAL-D'ESNOMS;HAUTE-MARNE;CHAMPAGNE-ARDENNE;5,197838076;47,70247914;;;;;;;;;;
44214;0;;0;LE VAL-D'ESNOMS;HAUTE-MARNE;CHAMPAGNE-ARDENNE;5,197359134;47,7058131;;;;;;;;;;
44215;0;;0;VITRY-LES-NOGENT;HAUTE-MARNE;CHAMPAGNE-ARDENNE;5,357999052;47,97571557;;;;;;;;;;
44216;0;;0;VITRY-LES-NOGENT;HAUTE-MARNE;CHAMPAGNE-ARDENNE;5,361926079;47,97757529;;;;;;;;;;
44217;0;;0;VITRY-LES-NOGENT;HAUTE-MARNE;CHAMPAGNE-ARDENNE;5,356998584;47,9798279;;;;;;;;;;
44218;0;;0;POINSON-LES-NOGENT;HAUTE-MARNE;CHAMPAGNE-ARDENNE;5,361305299;47,98310688;;;;;;;;;;
44219;0;;0;POINSON-LES-NOGENT;HAUTE-MARNE;CHAMPAGNE-ARDENNE;5,367443858;47,98458388;;;;;;;;;;
44220;0;;0;POINSON-LES-NOGENT;HAUTE-MARNE;CHAMPAGNE-ARDENNE;5,370118697;47,98197172;;;;;;;;;;
44221;0;;0;DAMPIERRE;HAUTE-MARNE;CHAMPAGNE-ARDENNE;5,371774889;47,97511018;;;;;;;;;;
44222;0;;0;POINSON-LES-NOGENT;HAUTE-MARNE;CHAMPAGNE-ARDENNE;5,375725683;47,97633348;;;;;;;;;;
44223;0;;0;POINSON-LES-NOGENT;HAUTE-MARNE;CHAMPAGNE-ARDENNE;5,380234616;47,97826386;;;;;;;;;;
44224;0;;0;POINSON-LES-NOGENT;HAUTE-MARNE;CHAMPAGNE-ARDENNE;5,371086589;47,97855415;;;;;;;;;;
44225;0;;0;DAMPIERRE;HAUTE-MARNE;CHAMPAGNE-ARDENNE;5,366905941;47,97707346;;;;;;;;;;
44226;0;;0;POINSON-LES-NOGENT;HAUTE-MARNE;CHAMPAGNE-ARDENNE;5,364283135;47,98031839;;;;;;;;;;
44227;0;;0;IS-EN-BASSIGNY;HAUTE-MARNE;CHAMPAGNE-ARDENNE;5,465565512;48,02258072;;;;;;;;;;
44228;0;;0;IS-EN-BASSIGNY;HAUTE-MARNE;CHAMPAGNE-ARDENNE;5,466830578;48,01950135;;;;;;;;;;
44229;0;;0;IS-EN-BASSIGNY;HAUTE-MARNE;CHAMPAGNE-ARDENNE;5,468304186;48,01573796;;;;;;;;;;
44230;0;;0;VAL-DE-MEUSE;HAUTE-MARNE;CHAMPAGNE-ARDENNE;5,474692349;48,01619684;;;;;;;;;;
44231;0;;0;IS-EN-BASSIGNY;HAUTE-MARNE;CHAMPAGNE-ARDENNE;5,474721392;48,02008309;;;;;;;;;;
44232;0;;0;IS-EN-BASSIGNY;HAUTE-MARNE;CHAMPAGNE-ARDENNE;5,473578068;48,02357645;;;;;;;;;;
44233;0;;0;CHAPELLE-VALLON;AUBE;CHAMPAGNE-ARDENNE;4,064687211;48,41328143;;;;;;;;;;
44234;0;;0;CHAPELLE-VALLON;AUBE;CHAMPAGNE-ARDENNE;4,063396259;48,41702705;;;;;;;;;;
44235;0;;0;CHAPELLE-VALLON;AUBE;CHAMPAGNE-ARDENNE;4,054861301;48,42014677;;;;;;;;;;
44236;0;;0;CHAPELLE-VALLON;AUBE;CHAMPAGNE-ARDENNE;4,057640318;48,41643585;;;;;;;;;;
44237;0;;0;CHAPELLE-VALLON;AUBE;CHAMPAGNE-ARDENNE;4,059556714;48,41346838;;;;;;;;;;
44238;0;;0;CHAPELLE-VALLON;AUBE;CHAMPAGNE-ARDENNE;4,045922377;48,41642902;;;;;;;;;;
44239;0;;0;CHAPELLE-VALLON;AUBE;CHAMPAGNE-ARDENNE;4,041135232;48,41266692;;;;;;;;;;
44240;0;;0;CHAPELLE-VALLON;AUBE;CHAMPAGNE-ARDENNE;4,038417685;48,41916005;;;;;;;;;;
