"Commune_insee","Horaires d'ouverture de la mairie"
"70372","Le jeudi : |14:00 - 17:00| et le mardi : |14:00 - 17:00|"
"70510","Le lundi : |15:00 - 20:00|"
"70279","Du lundi au jeudi : |08:00 - 12:00|13:30 - 17:30| et le vendredi : |08:00 - 12:00|13:30 - 16:30| et le samedi : |09:00 - 12:00|"
"70549","Le mercredi : |08:30 - 12:00|"
"70125","Le mercredi : |08:30 - 12:00| et le vendredi : |14:00 - 18:30|"
"70278","Le mercredi : |14:00 - 16:00| et le lundi : |09:30 - 11:30| et le vendredi : |14:00 - 17:00|"
"70576","Le jeudi : |09:00 - 12:00| et le mardi : |09:00 - 12:00|"
"70392","Le lundi : |14:00 - 16:00|"
"70311","Du lundi au jeudi : |08:30 - 12:00|13:30 - 17:30| et le vendredi : |08:30 - 12:00|13:30 - 17:00|"
"70014","Le mardi : |08:30 - 12:00|13:00 - 18:00| et le jeudi : |08:00 - 12:00| et le vendredi : |13:00 - 16:00|"
"70394","Le lundi : |09:00 - 12:00|"
"70547","Le lundi : |17:00 - 19:00|"
"70252","Le samedi : |08:00 - 12:00|"
"70262","Le lundi : |13:30 - 18:00| et le vendredi : |13:30 - 18:00|"
"70162","Du jeudi au vendredi : |09:00 - 13:00| et du lundi au mardi : |13:30 - 18:00| et le samedi : |10:30 - 12:00|"
"70261","Le lundi : |08:30 - 12:00|13:30 - 17:30| et le mardi : |08:30 - 12:00| et du mercredi au jeudi : |08:30 - 12:00|13:30 - 17:30| et le vendredi : |08:30 - 16:00|"
"70383","Le mardi : |08:30 - 12:00| et le mercredi : |14:00 - 18:00| et le vendredi : |14:00 - 16:00|"
"70198","Du lundi au mercredi : |10:00 - 12:00|13:30 - 17:30| et le jeudi : |13:30 - 17:30| et le vendredi : |10:00 - 12:00|13:30 - 17:30|"
"70518","Le vendredi : |08:30 - 12:00| et le lundi : |08:30 - 12:00|"
"70026","Du lundi au vendredi : |08:30 - 12:00|14:00 - 17:30| et le samedi : |08:30 - 12:00|"
